

Performance Summary

,All Trades,Long Trades,Short Trades,
Total Net Profit,$114682.50,$43147.50,$71535.00,
Gross Profit,$212061.25,$64212.50,$147848.75,
Gross Loss,($97378.75),($21065.00),($76313.75),
Profit Factor,2.18,3.05,1.94,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,$1282.50,$0.00,$1282.50,
,,,,
Select Total Net Profit,$120055.00,$43147.50,$76907.50,
Select Gross Profit,$212061.25,$64212.50,$147848.75,
Select Gross Loss,($92006.25),($21065.00),($70941.25),
Select Profit Factor,2.30,3.05,2.08,
,,,,
Adjusted Total Net Profit,$83824.73,$27993.73,$44578.07,
Adjusted Gross Profit,$192023.35,$53358.61,$130999.82,
Adjusted Gross Loss,($108198.61),($25364.88),($86421.75),
Adjusted Profit Factor,1.77,2.10,1.52,
,,,,
Total Number of Trades,193,59,134,
Percent Profitable,58.03%,59.32%,57.46%,
Winning Trades,112,35,77,
Losing Trades,81,24,57,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$594.21,$731.31,$533.84,
Avg. Winning Trade,$1893.40,$1834.64,$1920.11,
Avg. Losing Trade,($1202.21),($877.71),($1338.84),
Ratio Avg. Win:Avg. Loss,1.57,2.09,1.43,
Largest Winning Trade,$5452.50,$5340.00,$5452.50,
Largest Losing Trade,($5372.50),($2103.75),($5372.50),
Largest Winner as % of Gross Profit,2.57%,8.32%,3.69%,
Largest Loser as % of Gross Loss,5.52%,9.99%,7.04%,
,,,,
Net Profit as % of Largest Loss,2134.62%,2050.98%,1331.50%,
Select Net Profit as % of Largest Loss,2234.62%,2050.98%,1431.50%,
Adjusted Net Profit as % of Largest Loss,1560.26%,1330.66%,829.75%,
,,,,
Max. Consecutive Winning Trades,8,7,6,
Max. Consecutive Losing Trades,5,5,5,
Avg. Bars in Total Trades,63.62,55.47,67.20,
Avg. Bars in Winning Trades,70.58,59.60,75.57,
Avg. Bars in Losing Trades,53.99,49.46,55.89,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,1,1,
Total Shares/Contracts Held,194,59,135,
Account Size Required,$7356.25,$4688.75,$6893.75,
Total Slippage,$5790.00,$1770.00,$4020.00,
Total Commission,$965.00,$295.00,$670.00,
,,,,
Return on Initial Capital,114.68%,,,
Annual Rate of Return,4.68%,,,
Buy & Hold Return,-38.19%,,,
Return on Account,1558.98%,,,
Avg. Monthly Return,$950.53,,,
Std. Deviation of Monthly Return,$2514.81,,,
,,,,
Return Retracement Ratio,3.79,,,
RINA Index,242.55,,,
Sharpe Ratio,0.27,,,
K-Ratio,n/a,,,
,,,,
Trading Period,16 Years 4 Months 4 hours,,,
Percent of Time in the Market,47.98%,,,
Time in the Market,7 Years 10 Months 17 hours,,,
Longest Flat Period,20 days 7 hours,,,
,,,,
Max. Equity Run-up,$120846.25,,,
Date of Max. Equity Run-up,21/11/2022 21:00,,,
Max Equity Run-up as % of Initial Capital,120.85%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($10631.25),($6961.25),($10631.25),
Date,18/01/2023 09:00,,,
as % of Initial Capital,10.63%,6.96%,10.63%,
Net Profit as % of Drawdown,1078.73%,619.82%,672.87%,
Select Net Profit as % of Drawdown,1129.27%,619.82%,723.41%,
Adjusted Net Profit as % of Drawdown,788.47%,402.14%,419.31%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($7356.25),($4688.75),($6893.75),
Date,03/29/23 05:00,,,
as % of Initial Capital,7.36%,4.69%,6.89%,
Net Profit as % of Drawdown,1558.98%,920.23%,1037.68%,
Select Net Profit as % of Drawdown,1632.01%,920.23%,1115.61%,
Adjusted Net Profit as % of Drawdown,1139.50%,597.04%,646.64%,
,,,,
Max. Trade Drawdown,($6675.00),($2400.00),($6675.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,193,112,81,
Avg. Trade Net Profit,$594.21,$1893.40,($1202.21),
1 Std. Deviation of Avg. Trade,$1965.11,$1372.49,$1011.84,
Avg. Trade + 1 Std. Deviation,$2559.32,$3265.90,($190.37),
Avg. Trade - 1 Std. Deviation,($1370.90),$520.91,($2214.05),
Coefficient of Variation,330.71%,72.49%,84.17%,
,,,,
Time Averages,,,,
Avg. Time in Trades,14 days 18 hours 54 Minutes,16 days 9 hours 34 Minutes,12 days 13 hours 25 Minutes,
Avg. Time Between Trades,4 days 7 hours 28 Minutes,16 days 14 hours 38 Minutes,32 days 16 hours 30 Minutes,
Avg. Time Between Trade Profit Peaks,264 days 10 hours 24 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,1,0,1,
Outlier Profit/Loss,($5372.50),$0.00,($5372.50),
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$6693.75,($6675.00),
Max. Value Date,,24/08/2015,13/06/2013,
Avg. Value,,$2131.25,($987.47),
1 Std. Deviation,,$1428.91,$953.50,
Avg. + 1 Std. Deviation,,$3560.16,($33.97),
Avg. - 1 Std. Deviation,,$702.34,($1940.97),
Coefficient of Variation,,67.05%,96.56%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,9.28%,66.50%,42.78%,
1 Std. Deviation,52.47%,27.22%,31.42%,
Avg. + 1 Std. Deviation,61.75%,93.72%,74.19%,
Avg. - 1 Std. Deviation,-43.19%,39.28%,11.36%,
Coefficient of Variation,565.64%,40.94%,73.45%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$5452.50,($5372.50),
Largest Profit/Loss as % of Gross,,2.57%,5.52%,
Largest Consec. Profit/Loss,,$17938.75,($6893.75),
Largest Consec. Profit/Loss as % of Gross,,8.46%,7.08%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,21,$1809.94,($1053.75),
2,14,$1848.93,($1416.25),
3,11,$1562.54,($1241.82),
4,3,$2165.00,($1645.42),
5,2,$2680.00,($2091.25),
8,1,$2242.34,($1322.50),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,32,($1283.05),$1858.55,
2,11,($1372.22),$2191.14,
3,6,($936.04),$2010.83,
4,1,($597.50),$71.25,
5,1,($1378.75),$440.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,04/04/2013 05:00,Short,$1.18900,$0.00,1,$1240.00,0.86%,$1487.50,98.35%,,$2.50,$15.00
,Buy to Cover,04/04/2013 09:00,Cover,$1.17880,,$1275.00,$1240.00,,($25.00),85.95%,84.30%,$2.50,$15.00
2,Buy,12/04/2013 13:00,Buy,$1.14130,$0.00,1,$1477.50,1.06%,$3575.00,96.95%,,$2.50,$15.00
,Sell,16/04/2013 09:00,Sell,$1.15340,,$1512.50,$2717.50,,($112.50),44.07%,41.02%,$2.50,$15.00
3,Sell Short,17/04/2013 21:00,Short,$1.14940,$0.00,1,($160.00),-0.09%,$2062.50,70.82%,,$2.50,$15.00
,Buy to Cover,26/04/2013 13:00,Cover,$1.15040,,($125.00),$2557.50,,($850.00),24.89%,-4.29%,$2.50,$15.00
4,Sell Short,02/05/2013 13:00,Short,$1.15400,$0.00,1,$4715.00,3.29%,$5212.50,99.76%,,$2.50,$15.00
,Buy to Cover,10/05/2013 16:00,Cover,$1.11600,,$4750.00,$7272.50,,($12.50),91.15%,90.91%,$2.50,$15.00
5,Buy,20/05/2013 21:00,Buy,$1.10940,$0.00,1,$2915.00,2.13%,$4225.00,71.01%,,$2.50,$15.00
,Sell,04/06/2013 05:00,Sell,$1.13300,,$2950.00,$10187.50,,($1725.00),78.57%,49.58%,$2.50,$15.00
6,Sell Short,10/06/2013 09:00,Short,$1.14390,$0.00,1,($5372.50),-3.73%,$712.50,9.64%,,$2.50,$15.00
,Buy to Cover,17/06/2013 13:00,Cover,$1.18660,,($5337.50),$4815.00,,($6675.00),18.10%,-72.25%,$2.50,$15.00
7,Sell Short,18/06/2013 05:00,Short,$1.18520,$0.00,1,$2890.00,1.97%,$4612.50,98.66%,,$2.50,$15.00
,Buy to Cover,21/06/2013 01:00,Cover,$1.16180,,$2925.00,$7705.00,,($62.50),63.90%,62.57%,$2.50,$15.00
8,Sell Short,25/06/2013 13:00,Short,$1.15400,$0.00,1,$2615.00,1.84%,$3975.00,85.71%,,$2.50,$15.00
,Buy to Cover,03/07/2013 09:00,Cover,$1.13280,,$2650.00,$10320.00,,($662.50),71.43%,57.14%,$2.50,$15.00
9,Sell Short,04/07/2013 13:00,Short,$1.13050,$0.00,1,($1797.50),-1.25%,$1862.50,44.88%,,$2.50,$15.00
,Buy to Cover,11/07/2013 05:00,Cover,$1.14460,,($1762.50),$8522.50,,($2287.50),12.65%,-42.47%,$2.50,$15.00
10,Sell Short,15/07/2013 09:00,Short,$1.13300,$0.00,1,($1335.00),-0.92%,$1375.00,48.03%,,$2.50,$15.00
,Buy to Cover,26/07/2013 05:00,Cover,$1.14340,,($1300.00),$7187.50,,($1487.50),6.55%,-45.41%,$2.50,$15.00
11,Sell Short,31/07/2013 13:00,Short,$1.14710,$0.00,1,($185.00),-0.10%,$2062.50,68.75%,,$2.50,$15.00
,Buy to Cover,05/08/2013 21:00,Cover,$1.14830,,($150.00),$7002.50,,($937.50),26.25%,-5.00%,$2.50,$15.00
12,Sell Short,12/08/2013 09:00,Short,$1.16400,$0.00,1,$365.00,0.27%,$2487.50,83.61%,,$2.50,$15.00
,Buy to Cover,20/08/2013 13:00,Cover,$1.16080,,$400.00,$7367.50,,($487.50),29.83%,13.45%,$2.50,$15.00
