

Performance Summary

,All Trades,Long Trades,Short Trades,
Total Net Profit,$3990.00,($2380.00),$6370.00,
Gross Profit,$36130.00,$16910.00,$19220.00,
Gross Loss,($32140.00),($19290.00),($12850.00),
Profit Factor,1.12,0.88,1.50,
,,,,
Roll Over Credit,$0.00,$0.00,$0.00,
Open Position P/L,($130.00),$0.00,($130.00),
,,,,
Select Total Net Profit,$3990.00,($2380.00),$6370.00,
Select Gross Profit,$36130.00,$16910.00,$19220.00,
Select Gross Loss,($32140.00),($19290.00),($12850.00),
Select Profit Factor,1.12,0.88,1.50,
,,,,
Adjusted Total Net Profit,($8177.02),($11470.92),($1709.17),
Adjusted Gross Profit,$29176.78,$12028.50,$14257.42,
Adjusted Gross Loss,($37353.80),($23499.42),($15966.58),
Adjusted Profit Factor,0.78,0.51,0.89,
,,,,
Total Number of Trades,65,33,32,
Percent Profitable,41.54%,36.36%,46.88%,
Winning Trades,27,12,15,
Losing Trades,38,21,17,
Even Trades,0,0,0,
,,,,
Avg. Trade Net Profit,$61.38,($72.12),$199.06,
Avg. Winning Trade,$1338.15,$1409.17,$1281.33,
Avg. Losing Trade,($845.79),($918.57),($755.88),
Ratio Avg. Win:Avg. Loss,1.58,1.53,1.70,
Largest Winning Trade,$2050.00,$2050.00,$2000.00,
Largest Losing Trade,($1000.00),($1000.00),($1000.00),
Largest Winner as % of Gross Profit,5.67%,12.12%,10.41%,
Largest Loser as % of Gross Loss,3.11%,5.18%,7.78%,
,,,,
Net Profit as % of Largest Loss,399.00%,-238.00%,637.00%,
Select Net Profit as % of Largest Loss,399.00%,-238.00%,637.00%,
Adjusted Net Profit as % of Largest Loss,-817.70%,-1147.09%,-170.92%,
,,,,
Max. Consecutive Winning Trades,3,2,3,
Max. Consecutive Losing Trades,6,4,4,
Avg. Bars in Total Trades,21.12,22.00,20.22,
Avg. Bars in Winning Trades,27.85,33.50,23.33,
Avg. Bars in Losing Trades,16.34,15.43,17.47,
Avg. Bars in Even Trades,0.00,0.00,0.00,
,,,,
Max. Shares/Contracts Held,1,1,1,
Total Shares/Contracts Held,66,33,33,
Account Size Required,$7840.00,$9460.00,$3330.00,
Total Slippage,$0.00,$0.00,$0.00,
Total Commission,$0.00,$0.00,$0.00,
,,,,
Return on Initial Capital,3.99%,,,
Annual Rate of Return,0.80%,,,
Buy & Hold Return,10.18%,,,
Return on Account,50.89%,,,
Avg. Monthly Return,$66.55,,,
Std. Deviation of Monthly Return,$1212.53,,,
,,,,
Return Retracement Ratio,0.17,,,
RINA Index,11.19,,,
Sharpe Ratio,-0.08,,,
K-Ratio,n/a,,,
,,,,
Trading Period,4 Years 10 Months 22 days 2 hours 47 Minutes,,,
Percent of Time in the Market,55.04%,,,
Time in the Market,2 Years 8 Months 9 days 3 hours 28 Minutes,,,
Longest Flat Period,49 days 2 hours 47 Minutes,,,
,,,,
Max. Equity Run-up,$11630.00,,,
Date of Max. Equity Run-up,12/21/2020 10:43,,,
Max Equity Run-up as % of Initial Capital,11.63%,,,
,,,,
Max. Drawdown (Intra-Day Peak to Valley),,,,
Value,($9420.00),($11090.00),($4860.00),
Date,2/3/2023 10:43,,,
as % of Initial Capital,9.42%,11.09%,4.86%,
Net Profit as % of Drawdown,42.36%,-21.46%,131.07%,
Select Net Profit as % of Drawdown,42.36%,-21.46%,131.07%,
Adjusted Net Profit as % of Drawdown,-86.80%,-103.43%,-35.17%,
,,,,
Max. Drawdown (Trade Close to Trade Close),,,,
Value,($7840.00),($9460.00),($3330.00),
Date,01/26/23 13:30,,,
as % of Initial Capital,7.84%,9.46%,3.33%,
Net Profit as % of Drawdown,50.89%,-25.16%,191.29%,
Select Net Profit as % of Drawdown,50.89%,-25.16%,191.29%,
Adjusted Net Profit as % of Drawdown,-104.30%,-121.26%,-51.33%,
,,,,
Max. Trade Drawdown,($1000.00),($1000.00),($1000.00),


Trade Analysis

,,,,
TradeStation Trade Analysis,,,,
,All Trades,Winners,Losers,
Total Number of Trades,65,27,38,
Avg. Trade Net Profit,$61.38,$1338.15,($845.79),
1 Std. Deviation of Avg. Trade,$1219.90,$798.01,$303.05,
Avg. Trade + 1 Std. Deviation,$1281.28,$2136.16,($542.74),
Avg. Trade - 1 Std. Deviation,($1158.51),$540.14,($1148.84),
Coefficient of Variation,1987.30%,59.64%,35.83%,
,,,,
Time Averages,,,,
Avg. Time in Trades,14 days 20 hours 43 Minutes,19 days 15 hours 57 Minutes,11 days 10 hours 51 Minutes,
Avg. Time Between Trades,17 days 15 hours 44 Minutes,44 days 12 hours 51 Minutes,34 days 19 hours 20 Minutes,
Avg. Time Between Trade Profit Peaks,538 days 21 hours 13 Minutes,,,
,,,,
Outliers,Total,Positive,Negative,
Number of Outliers,0,0,0,
Outlier Profit/Loss,$0.00,$0.00,$0.00,
,,,,
Run-up/Drawdown,,Run-up,Drawdown,
Max. Value,,$2050.00,($1000.00),
Max. Value Date,,1/14/2020,7/31/2018,
Avg. Value,,$1051.08,($661.08),
1 Std. Deviation,,$703.42,$362.45,
Avg. + 1 Std. Deviation,,$1754.50,($298.63),
Avg. - 1 Std. Deviation,,$347.66,($1023.53),
Coefficient of Variation,,66.92%,54.83%,
,,,,
Efficiency Analysis,Total,Entry,Exit,
Avg. Efficiency,-9.30%,55.58%,35.12%,
1 Std. Deviation,67.26%,29.50%,41.17%,
Avg. + 1 Std. Deviation,57.96%,85.08%,76.28%,
Avg. - 1 Std. Deviation,-76.56%,26.08%,-6.05%,
Coefficient of Variation,723.07%,53.07%,117.23%,
,,,,
TradeStation Trade Series Analysis,,,,
,,Winners,Losers,
Largest Profit/Loss,,$2050.00,($1000.00),
Largest Profit/Loss as % of Gross,,5.67%,3.11%,
Largest Consec. Profit/Loss,,$5270.00,($5140.00),
Largest Consec. Profit/Loss as % of Gross,,14.59%,15.99%,
,,,,
Winning Series,Number of Series,Avg. Gain per Series,Avg. Loss Next Trade,
1,10,$1341.00,($801.00),
2,4,$1143.75,($920.00),
3,3,$1507.78,($1000.00),
,,,,
Losing Series,Number of Series,Avg. Loss per Series,Avg. Gain Next Trade,
1,8,($881.25),$1298.57,
2,3,($731.67),$1423.33,
3,2,($883.33),$1115.00,
4,3,($855.00),$863.33,
6,1,($856.67),$2000.00,
,,,,


TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Sell Short,7/16/2018 13:30,Short,$2702,$0.00,1,$2000.00,7.40%,$2000.00,98.52%,,$0.00,$0.00
,Buy to Cover,7/24/2018 13:30,Profit Target,$2502,,$2000.00,$2000.00,,($30.00),100.00%,98.52%,$0.00,$0.00
2,Buy,7/30/2018 13:30,Buy,$2506,$0.00,1,($1000.00),-3.99%,$70.00,6.54%,,$0.00,$0.00
