Performance Summary,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,All Trades,Long Trades,Short Trades,,,,,,,,,,,
Total Net Profit,$109287.50,$109287.50,$0.00,,,,,,,,,,,
Gross Profit,$218257.50,$218257.50,$0.00,,,,,,,,,,,
Gross Loss,($108970.00),($108970.00),$0.00,,,,,,,,,,,
Profit Factor,2,2,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,
Roll Over Credit,$0.00,$0.00,$0.00,,,,,,,,,,,
Open Position P/L,($340.00),($340.00),$0.00,,,,,,,,,,,
,,,,,,,,,,,,,,
Select Total Net Profit,$109287.50,$109287.50,$0.00,,,,,,,,,,,
Select Gross Profit,$218257.50,$218257.50,$0.00,,,,,,,,,,,
Select Gross Loss,($108970.00),($108970.00),$0.00,,,,,,,,,,,
Select Profit Factor,2,2,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,
Adjusted Total Net Profit,$64554.47,$64554.47,$0.00,,,,,,,,,,,
Adjusted Gross Profit,$189091.61,$189091.61,$0.00,,,,,,,,,,,
Adjusted Gross Loss,($124537.14),($124537.14),$0.00,,,,,,,,,,,
Adjusted Profit Factor,1.52,1.52,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,
Total Number of Trades,105,105,0,,,,,,,,,,,
Percent Profitable,53.33%,53.33%,0.00%,,,,,,,,,,,
Winning Trades,56,56,0,,,,,,,,,,,
Losing Trades,49,49,0,,,,,,,,,,,
Even Trades,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,
Avg. Trade Net Profit,$1040.83,$1040.83,$0.00,,,,,,,,,,,
Avg. Winning Trade,$3897.46,$3897.46,$0.00,,,,,,,,,,,
Avg. Losing Trade,($2223.88),($2223.88),$0.00,,,,,,,,,,,
Ratio Avg. Win:Avg. Loss,1.75,1.75,n/a,,,,,,,,,,,
Largest Winning Trade,$6970.00,$6970.00,$0.00,,,,,,,,,,,
Largest Losing Trade,($3030.00),($3030.00),$0.00,,,,,,,,,,,
Largest Winner as % of Gross Profit,3.19%,3.19%,n/a,,,,,,,,,,,
Largest Loser as % of Gross Loss,2.78%,2.78%,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,
Net Profit as % of Largest Loss,3606.85%,3606.85%,n/a,,,,,,,,,,,
Select Net Profit as % of Largest Loss,3606.85%,3606.85%,n/a,,,,,,,,,,,
Adjusted Net Profit as % of Largest Loss,2130.51%,2130.51%,n/a,,,,,,,,,,,
,,,,,,,,,,,,,,
